"date";"category";"value"
"2024-10-01";"Строительство";212259.688
"2024-10-01";"Торговля";418740.7907
"2024-10-01";"Транспортировка и хранение";297974.1912
"2024-10-01";"Услуги ЖКХ";109829.4654
"2024-10-01";"Финансы и страхование";167223.5135
"2024-09-01";"Административная деятельность";82705.6867
"2024-09-01";"Водоснабжение";33253.132899
"2024-09-01";"Все отрасли";3620251.085295
"2024-09-01";"Гостиницы и общепит";40052.1761
"2024-09-01";"Государственное управление и военная безопасность";242867.1098
"2024-09-01";"Деятельность в области информации и связи";221275.468199
"2024-09-01";"Добыча полезных ископаемых";160050.3904
"2024-09-01";"Здравоохранение";284191.2992
"2024-09-01";"Научная и профессиональная деятельность";252605.0025
"2024-09-01";"Обрабатывающие производства";609122.435899
"2024-09-01";"Образование";314563.203
"2024-09-01";"Операции с недвижимостью";65112.582299
"2024-09-01";"Прочие услуги";16294.5679
"2024-09-01";"Сельское хозяйство";82707.9392
"2024-09-01";"Спорт и досуг";65975.6545
"2024-09-01";"Строительство";205749.5673
"2024-09-01";"Торговля";402161.8671
"2024-09-01";"Транспортировка и хранение";281355.932899
"2024-09-01";"Услуги ЖКХ";102897.7207
"2024-09-01";"Финансы и страхование";157249.8521
"2024-08-01";"Административная деятельность";82892.8076
"2024-08-01";"Водоснабжение";34020.2638
"2024-08-01";"Все отрасли";3529687.783095
"2024-08-01";"Гостиницы и общепит";38598.0001
"2024-08-01";"Государственное управление и военная безопасность";231676.8677
"2024-08-01";"Деятельность в области информации и связи";223828.3248
"2024-08-01";"Добыча полезных ископаемых";165461.9761
"2024-08-01";"Здравоохранение";280385.6674
"2024-08-01";"Научная и профессиональная деятельность";251198.832199
"2024-08-01";"Обрабатывающие производства";618692.8335
"2024-08-01";"Образование";178278.3879
"2024-08-01";"Операции с недвижимостью";66533.8652
"2024-08-01";"Прочие услуги";15905.393199
"2024-08-01";"Сельское хозяйство";81637.1652
"2024-08-01";"Спорт и досуг";54586.908899
"2024-08-01";"Строительство";210501.342199
"2024-08-01";"Торговля";415905.7842
"2024-08-01";"Транспортировка и хранение";301428.9731
"2024-08-01";"Услуги ЖКХ";112783.9685
"2024-08-01";"Финансы и страхование";165311.6999
"2024-07-01";"Административная деятельность";83500.982
"2024-07-01";"Водоснабжение";34429.5698
"2024-07-01";"Все отрасли";3656111.674198
"2024-07-01";"Гостиницы и общепит";41402.8064
"2024-07-01";"Государственное управление и военная безопасность";265432.9943
"2024-07-01";"Деятельность в области информации и связи";225434.124
"2024-07-01";"Добыча полезных ископаемых";159422.5656
"2024-07-01";"Здравоохранение";289654.7053
"2024-07-01";"Научная и профессиональная деятельность";268852.3699
"2024-07-01";"Обрабатывающие производства";631336.605299
"2024-07-01";"Образование";194461.4574
"2024-07-01";"Операции с недвижимостью";69973.328
"2024-07-01";"Прочие услуги";16597.6423
"2024-07-01";"Сельское хозяйство";82799.0211
"2024-07-01";"Спорт и досуг";59269.2155
"2024-07-01";"Строительство";207085.0697
"2024-07-01";"Торговля";419196.5853
"2024-07-01";"Транспортировка и хранение";300392.2348
"2024-07-01";"Услуги ЖКХ";114532.128099
"2024-07-01";"Финансы и страхование";192260.3222
"2024-06-01";"Административная деятельность";84788.9871
"2024-06-01";"Водоснабжение";34766.9336
"2024-06-01";"Все отрасли";3847323.647797
"2024-06-01";"Гостиницы и общепит";40511.2569
"2024-06-01";"Государственное управление и военная безопасность";268872.6519
"2024-06-01";"Деятельность в области информации и связи";220333.7264
"2024-06-01";"Добыча полезных ископаемых";162694.0843
"2024-06-01";"Здравоохранение";309562.718
"2024-06-01";"Научная и профессиональная деятельность";261618.6292
"2024-06-01";"Обрабатывающие производства";605345.0582
"2024-06-01";"Образование";446704.6941
"2024-06-01";"Операции с недвижимостью";70275.528299
"2024-06-01";"Прочие услуги";19216.801199
"2024-06-01";"Сельское хозяйство";77480.4591
"2024-06-01";"Спорт и досуг";66515.4467
"2024-06-01";"Строительство";206319.7303
"2024-06-01";"Торговля";409902.908399
"2024-06-01";"Транспортировка и хранение";287559.1152
"2024-06-01";"Услуги ЖКХ";113587.9127
"2024-06-01";"Финансы и страхование";161195.4639
"2024-05-01";"Административная деятельность";87201.53
"2024-05-01";"Водоснабжение";34816.1117
"2024-05-01";"Все отрасли";3736735.390098
"2024-05-01";"Гостиницы и общепит";40710.4157
"2024-05-01";"Государственное управление и военная безопасность";244040.9155
"2024-05-01";"Деятельность в области информации и связи";223668.1735
"2024-05-01";"Добыча полезных ископаемых";161535.3228
"2024-05-01";"Здравоохранение";289523.5886
"2024-05-01";"Научная и профессиональная деятельность";254157.9254
"2024-05-01";"Обрабатывающие производства";597955.0956
"2024-05-01";"Образование";338846.983399
"2024-05-01";"Операции с недвижимостью";68625.7297
"2024-05-01";"Прочие услуги";16220.1455
"2024-05-01";"Сельское хозяйство";80330.2221
"2024-05-01";"Спорт и досуг";60182.5132
"2024-05-01";"Строительство";209471.9796
"2024-05-01";"Торговля";402459.6404
"2024-05-01";"Транспортировка и хранение";331979.7009
"2024-05-01";"Услуги ЖКХ";115044.0814
"2024-05-01";"Финансы и страхование";179898.7032
"2024-04-01";"Административная деятельность";83642.175
"2024-04-01";"Водоснабжение";32929.245199
"2024-04-01";"Все отрасли";3638832.416994
"2024-04-01";"Гостиницы и общепит";37559.8422
"2024-04-01";"Государственное управление и военная безопасность";251430.3585
"2024-04-01";"Деятельность в области информации и связи";226501.4864
"2024-04-01";"Добыча полезных ископаемых";151828.3925
"2024-04-01";"Здравоохранение";270764.5388
"2024-04-01";"Научная и профессиональная деятельность";268259.095199
"2024-04-01";"Обрабатывающие производства";601754.5689
"2024-04-01";"Образование";284075.164399
"2024-04-01";"Операции с недвижимостью";68396.0468
"2024-04-01";"Прочие услуги";16124.144199
"2024-04-01";"Сельское хозяйство";72500.0106
"2024-04-01";"Спорт и досуг";60268.9244
"2024-04-01";"Строительство";198651.149699
"2024-04-01";"Торговля";412647.2585
"2024-04-01";"Транспортировка и хранение";278136.0898
"2024-04-01";"Услуги ЖКХ";120170.2046
"2024-04-01";"Финансы и страхование";203124.6424
"2024-03-01";"Административная деятельность";83733.242099
"2024-03-01";"Водоснабжение";32635.7588
"2024-03-01";"Все отрасли";3806468.272498
"2024-03-01";"Гостиницы и общепит";37459.7906
"2024-03-01";"Государственное управление и военная безопасность";252998.8824
"2024-03-01";"Деятельность в области информации и связи";248259.2719
"2024-03-01";"Добыча полезных ископаемых";206223.0123
"2024-03-01";"Здравоохранение";277183.7156
"2024-03-01";"Научная и профессиональная деятельность";285661.589899
"2024-03-01";"Обрабатывающие производства";603996.3939
"2024-03-01";"Образование";286573.433
"2024-03-01";"Операции с недвижимостью";70559.4141
"2024-03-01";"Прочие услуги";24268.0076
"2024-03-01";"Сельское хозяйство";70526.8553
"2024-03-01";"Спорт и досуг";61412.4307
"2024-03-01";"Строительство";198625.648
"2024-03-01";"Торговля";438112.3048
"2024-03-01";"Транспортировка и хранение";272809.0389
"2024-03-01";"Услуги ЖКХ";114041.9286
"2024-03-01";"Финансы и страхование";241340.2265
"2024-02-01";"Административная деятельность";78512.0184
"2024-02-01";"Водоснабжение";30555.989
"2024-02-01";"Все отрасли";3395594.273197
"2024-02-01";"Гостиницы и общепит";35146.0561
"2024-02-01";"Государственное управление и военная безопасность";227647.3381
"2024-02-01";"Деятельность в области информации и связи";225839.5944
"2024-02-01";"Добыча полезных ископаемых";144393.6738
"2024-02-01";"Здравоохранение";259696.6163
"2024-02-01";"Научная и профессиональная деятельность";243287.218
"2024-02-01";"Обрабатывающие производства";549014.8794
"2024-02-01";"Образование";271827.492899
"2024-02-01";"Операции с недвижимостью";66137.7146
"2024-02-01";"Прочие услуги";15443.3158
"2024-02-01";"Сельское хозяйство";65524.0745
"2024-02-01";"Спорт и досуг";55622.037899
"2024-02-01";"Строительство";184586.4011
"2024-02-01";"Торговля";388321.4422
"2024-02-01";"Транспортировка и хранение";262913.077
"2024-02-01";"Услуги ЖКХ";102436.905099
"2024-02-01";"Финансы и страхование";188603.2755
"2024-01-01";"Административная деятельность";74507.4687
"2024-01-01";"Водоснабжение";32387.0586
"2024-01-01";"Все отрасли";3239042.478898
"2024-01-01";"Гостиницы и общепит";38607.7167
"2024-01-01";"Государственное управление и военная безопасность";218458.2524
"2024-01-01";"Деятельность в области информации и связи";191454.1239
"2024-01-01";"Добыча полезных ископаемых";139881.6521
"2024-01-01";"Здравоохранение";266158.9653
"2024-01-01";"Научная и профессиональная деятельность";222693.7542
"2024-01-01";"Обрабатывающие производства";538842.8715
"2024-01-01";"Образование";260610.3277
"2024-01-01";"Операции с недвижимостью";64998.5459
"2024-01-01";"Прочие услуги";15296.584
"2024-01-01";"Сельское хозяйство";67763.865599
"2024-01-01";"Спорт и досуг";55289.6372
"2024-01-01";"Строительство";169294.0463
"2024-01-01";"Торговля";379136.7462
"2024-01-01";"Транспортировка и хранение";262957.3718
"2024-01-01";"Услуги ЖКХ";103762.4783
"2024-01-01";"Финансы и страхование";136877.333099
"2023-12-01";"Административная деятельность";88101.0488
"2023-12-01";"Водоснабжение";34031.3137
"2023-12-01";"Все отрасли";4457703.121099
"2023-12-01";"Гостиницы и общепит";40398.9429
"2023-12-01";"Государственное управление и военная безопасность";485808.662
"2023-12-01";"Деятельность в области информации и связи";262547.2408
"2023-12-01";"Добыча полезных ископаемых";188059.6296
"2023-12-01";"Здравоохранение";352710.9941
"2023-12-01";"Научная и профессиональная деятельность";349108.2487
"2023-12-01";"Обрабатывающие производства";619201.0745
"2023-12-01";"Образование";366650.1695
"2023-12-01";"Операции с недвижимостью";83605.8129
"2023-12-01";"Прочие услуги";19456.3231
"2023-12-01";"Сельское хозяйство";80463.7422
"2023-12-01";"Спорт и досуг";80761.6962
"2023-12-01";"Строительство";211736.103199
"2023-12-01";"Торговля";431391.9227
"2023-12-01";"Транспортировка и хранение";296065.4042
"2023-12-01";"Услуги ЖКХ";128794.2547
"2023-12-01";"Финансы и страхование";338673.8618
"2023-11-01";"Административная деятельность";68502.8676
"2023-11-01";"Водоснабжение";28472.396
"2023-11-01";"Все отрасли";3148280.266597
"2023-11-01";"Гостиницы и общепит";33545.6304
"2023-11-01";"Государственное управление и военная безопасность";236661.9822
"2023-11-01";"Деятельность в области информации и связи";174422.9287
"2023-11-01";"Добыча полезных ископаемых";138273.9526
"2023-11-01";"Здравоохранение";252952.356199
"2023-11-01";"Научная и профессиональная деятельность";221022.878199
"2023-11-01";"Обрабатывающие производства";507767.5854
"2023-11-01";"Образование";271107.6535
"2023-11-01";"Операции с недвижимостью";63100.7216
"2023-11-01";"Прочие услуги";14173.7355
"2023-11-01";"Сельское хозяйство";66538.0468
"2023-11-01";"Спорт и досуг";55071.569299
"2023-11-01";"Строительство";173736.9822
"2023-11-01";"Торговля";352139.7172
"2023-11-01";"Транспортировка и хранение";246517.863
"2023-11-01";"Услуги ЖКХ";98433.5294
"2023-11-01";"Финансы и страхование";145786.4109
"2023-10-01";"Административная деятельность";66723.9922
"2023-10-01";"Водоснабжение";29066.7673
"2023-10-01";"Все отрасли";3162504.566598
"2023-10-01";"Гостиницы и общепит";34300.2516
"2023-10-01";"Государственное управление и военная безопасность";235231.6439
"2023-10-01";"Деятельность в области информации и связи";179253.1364
"2023-10-01";"Добыча полезных ископаемых";152106.1428
"2023-10-01";"Здравоохранение";248349.4691
"2023-10-01";"Научная и профессиональная деятельность";222107.9458
"2023-10-01";"Обрабатывающие производства";502794.6416
"2023-10-01";"Образование";262366.8988
"2023-10-01";"Операции с недвижимостью";63166.548299
"2023-10-01";"Прочие услуги";14045.4565
"2023-10-01";"Сельское хозяйство";71211.6901
"2023-10-01";"Спорт и досуг";52810.129799
"2023-10-01";"Строительство";175691.4712
"2023-10-01";"Торговля";363614.9362
"2023-10-01";"Транспортировка и хранение";249735.7001
"2023-10-01";"Услуги ЖКХ";96081.8868
"2023-10-01";"Финансы и страхование";143792.8433
"2023-09-01";"Административная деятельность";68476.546
"2023-09-01";"Водоснабжение";27845.2125
"2023-09-01";"Все отрасли";3029094.003597
"2023-09-01";"Гостиницы и общепит";33706.5806
"2023-09-01";"Государственное управление и военная безопасность";213641.5899
"2023-09-01";"Деятельность в области информации и связи";165956.3234
